source_url,source_name,source_page_type,extraction_timestamp,runner_id,race_id,race_date,racecourse,race_no,horse_no,horse_name,horse_id_or_brand_no,draw,jockey,trainer,carried_weight,handicap_rating,rating_change,declared_body_weight,body_weight_change,gear,gear_change,odds,finish_position,beaten_margin,race_time,sectional_time,running_position,comments_or_notes,raw_horse,raw_finish_time,raw_running_position
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-4,2026-03-01-ST-4,2026-03-01,ST,4,4,MOTOR,K165,14,H Bowman,W K Mo,134,,,1193,,,,32,11,5-3/4,1:10.99,,10 3 11,,MOTOR (K165),1:10.99,10 3 11
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-8,2026-03-01-ST-4,2026-03-01,ST,4,8,GLACIATED,K272,3,C Y Ho,P C Ng,126,,,1130,,,,6.8,12,5-3/4,1:10.99,,5 4 12,,GLACIATED (K272),1:10.99,5 4 12
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-12,2026-03-01-ST-4,2026-03-01,ST,4,12,YOUNG LEGACY,K465,5,A Atzeni,J Size,124,,,1135,,,,125,13,6-1/4,1:11.06,,14 13 13,,YOUNG LEGACY (K465),1:11.06,14 13 13
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4-7,2026-03-01-ST-4,2026-03-01,ST,4,7,RISING FROM EAST,L145,10,M L Yeung,C H Yip,129,,,1176,,,,119,14,23-1/4,1:13.78,,13 14 14,,RISING FROM EAST (L145),1:13.78,13 14 14
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-6,2026-03-01-ST-5,2026-03-01,ST,5,6,CONRAD PATCH,L106,7,H Bowman,W K Mo,129,,,1191,,,,3.6,1,-,1:09.77,,3 3 1,,CONRAD PATCH (L106),1:09.77,3 3 1
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-4,2026-03-01-ST-5,2026-03-01,ST,5,4,HAPPY SHOOTER,J427,2,L Hewitson,C S Shum,130,,,1264,,,,3.7,2,N,1:09.82,,4 4 2,,HAPPY SHOOTER (J427),1:09.82,4 4 2
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-12,2026-03-01-ST-5,2026-03-01,ST,5,12,INVICTUS DRAGON,K318,12,Z Purton,K W Lui,124,,,1194,,,,7.8,3,N,1:09.83,,12 13 3,,INVICTUS DRAGON (K318),1:09.83,12 13 3
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-3,2026-03-01-ST-5,2026-03-01,ST,5,3,ISLAND BUDDY,J217,10,J McDonald,B Crawford,132,,,1171,,,,7.2,4,3/4,1:09.92,,1 1 4,,ISLAND BUDDY (J217),1:09.92,1 1 4
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-14,2026-03-01-ST-5,2026-03-01,ST,5,14,GOOD FORTUNE,H349,8,M F Poon,P C Ng,117,,,1070,,,,69,5,1,1:09.96,,8 10 5,,GOOD FORTUNE (H349),1:09.96,8 10 5
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-8,2026-03-01-ST-5,2026-03-01,ST,5,8,RELENTLESS PURSUIT,L208,14,L Ferraris,M Newnham,128,,,1097,,,,15,6,1-3/4,1:10.04,,10 11 6,,RELENTLESS PURSUIT (L208),1:10.04,10 11 6
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-5,2026-03-01-ST-5,2026-03-01,ST,5,5,VOYAGE BOSS,K321,6,D B McMonagle,F C Lor,130,,,1126,,,,7.1,7,1-3/4,1:10.04,,6 5 7,,VOYAGE BOSS (K321),1:10.04,6 5 7
